model_type,bldgname,y,preprocessing_method,n_features,time_step,rmse,mae,r2,model_file
ensembles,Stadium,present_elec_kwh,prophet,2,8,32.63346376578305,20.6011632395598,0.8399104304377196,./models/ensembles/stadium_present_elec_kwh_prophet_2_8.pkl
ensembles,Stadium,present_elec_kwh,prophet,2,12,31.112203800304542,19.67037418301577,0.8545338994697362,./models/ensembles/stadium_present_elec_kwh_prophet_2_12.pkl
ensembles,Stadium,present_elec_kwh,prophet,2,24,31.9719307641094,20.50806249574584,0.846454008742944,./models/ensembles/stadium_present_elec_kwh_prophet_2_24.pkl
ensembles,Stadium,present_elec_kwh,prophet,3,1,49.89523508983328,37.191658063936345,0.62562353039029,./models/ensembles/stadium_present_elec_kwh_prophet_3_1.pkl
ensembles,Stadium,present_elec_kwh,prophet,3,8,32.62008626327604,21.075888216342634,0.840041655224557,./models/ensembles/stadium_present_elec_kwh_prophet_3_8.pkl
ensembles,Stadium,present_elec_kwh,prophet,3,12,31.275430688491372,19.522903832711577,0.8530035505290638,./models/ensembles/stadium_present_elec_kwh_prophet_3_12.pkl
ensembles,Stadium,present_elec_kwh,prophet,3,24,31.52002916826225,20.182037852061093,0.8507638707318184,./models/ensembles/stadium_present_elec_kwh_prophet_3_24.pkl
ensembles,Stadium,present_elec_kwh,prophet,4,1,49.684757275171734,36.56900970033837,0.6287754041360907,./models/ensembles/stadium_present_elec_kwh_prophet_4_1.pkl
ensembles,Stadium,present_elec_kwh,prophet,4,8,32.41420282229675,20.679831610272785,0.8420544546804569,./models/ensembles/stadium_present_elec_kwh_prophet_4_8.pkl
ensembles,Stadium,present_elec_kwh,prophet,4,12,31.79182248540751,19.909519980131645,0.8481093304111081,./models/ensembles/stadium_present_elec_kwh_prophet_4_12.pkl
ensembles,Stadium,present_elec_kwh,prophet,4,24,31.52002916826225,20.182037852061093,0.8507638707318184,./models/ensembles/stadium_present_elec_kwh_prophet_4_24.pkl
ensembles,Stadium,present_elec_kwh,prophet,5,1,49.7622563594256,36.617004446388286,0.6276164167352352,./models/ensembles/stadium_present_elec_kwh_prophet_5_1.pkl
ensembles,Stadium,present_elec_kwh,prophet,5,8,32.1611658132696,20.04694467229604,0.8445107898734889,./models/ensembles/stadium_present_elec_kwh_prophet_5_8.pkl
ensembles,Stadium,present_elec_kwh,prophet,5,12,31.79182248540751,19.909519980131645,0.8481093304111081,./models/ensembles/stadium_present_elec_kwh_prophet_5_12.pkl
ensembles,Stadium,present_elec_kwh,prophet,5,24,30.594841793782596,19.70417346668666,0.8593961610852059,./models/ensembles/stadium_present_elec_kwh_prophet_5_24.pkl
ensembles,Stadium,present_elec_kwh,prophet,6,1,49.88757125402061,36.65102657936199,0.6257385289243447,./models/ensembles/stadium_present_elec_kwh_prophet_6_1.pkl
ensembles,Stadium,present_elec_kwh,prophet,6,8,32.71432541380027,20.518278277825484,0.8391160835858635,./models/ensembles/stadium_present_elec_kwh_prophet_6_8.pkl
ensembles,Stadium,present_elec_kwh,prophet,6,12,32.33171311609399,20.0957888195495,0.8429066937380771,./models/ensembles/stadium_present_elec_kwh_prophet_6_12.pkl
ensembles,Stadium,present_elec_kwh,prophet,6,24,31.52859940370181,20.175068760567502,0.8506827056647188,./models/ensembles/stadium_present_elec_kwh_prophet_6_24.pkl
ensembles,Stadium,present_elec_kwh,prophet,7,1,49.14055332889889,36.073509831017496,0.6368630154815547,./models/ensembles/stadium_present_elec_kwh_prophet_7_1.pkl
ensembles,Stadium,present_elec_kwh,prophet,7,8,32.71432541380027,20.518278277825484,0.8391160835858635,./models/ensembles/stadium_present_elec_kwh_prophet_7_8.pkl
ensembles,Stadium,present_elec_kwh,prophet,7,12,32.53117969084157,20.852679734548612,0.8409623784511181,./models/ensembles/stadium_present_elec_kwh_prophet_7_12.pkl
