model_type,bldgname,y,preprocessing_method,feature_mode,time_step,rmse,mae,r2,model_file
solos,Energy Innovation Center,present_chll_tonhr,linear regression,standard,8,0.11838384410276653,0.088180296388174,0.3586318827249827,./models/solos/energy_innovation_center_present_chll_tonhr_linear_regression_standard_8_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear regression,standard,12,0.1173320159694762,0.08734715689225749,0.369627652977507,./models/solos/energy_innovation_center_present_chll_tonhr_linear_regression_standard_12_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear regression,standard,24,0.11278310673616024,0.0840336199046084,0.41773685001692007,./models/solos/energy_innovation_center_present_chll_tonhr_linear_regression_standard_24_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear regression,feature complete,1,52.07980025355069,40.591720654395225,0.14561994124760624,./models/solos/energy_innovation_center_present_chll_tonhr_linear_regression_feature_complete_1_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear regression,feature complete,8,44.497823408762024,32.65683448364837,0.3767455429235226,./models/solos/energy_innovation_center_present_chll_tonhr_linear_regression_feature_complete_8_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear regression,feature complete,12,85.21056205412133,68.04993754494366,-1.286737498748566,./models/solos/energy_innovation_center_present_chll_tonhr_linear_regression_feature_complete_12_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear regression,feature complete,24,74.95493494649551,57.41852772393038,-0.7688745243448267,./models/solos/energy_innovation_center_present_chll_tonhr_linear_regression_feature_complete_24_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear interpolation,standard,1,0.11591457069927662,0.09274171176500977,0.5685343661156708,./models/solos/energy_innovation_center_present_chll_tonhr_linear_interpolation_standard_1_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear interpolation,standard,8,0.10808174322963615,0.0818309028042298,0.625212571242179,./models/solos/energy_innovation_center_present_chll_tonhr_linear_interpolation_standard_8_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear interpolation,standard,12,0.11113714464786033,0.08436492413337782,0.6037103758994342,./models/solos/energy_innovation_center_present_chll_tonhr_linear_interpolation_standard_12_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear interpolation,standard,24,0.09064077064658353,0.06772351379574264,0.7366823768349662,./models/solos/energy_innovation_center_present_chll_tonhr_linear_interpolation_standard_24_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear interpolation,feature complete,1,54.11483979034142,42.25226919565602,0.3532025970334113,./models/solos/energy_innovation_center_present_chll_tonhr_linear_interpolation_feature_complete_1_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear interpolation,feature complete,8,38.925452569882495,29.869633068389327,0.6656409823379994,./models/solos/energy_innovation_center_present_chll_tonhr_linear_interpolation_feature_complete_8_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear interpolation,feature complete,12,100.68478790067118,79.56367612498177,-1.23710988548596,./models/solos/energy_innovation_center_present_chll_tonhr_linear_interpolation_feature_complete_12_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,linear interpolation,feature complete,24,88.64438361589808,67.07305339344828,-0.7322100829614593,./models/solos/energy_innovation_center_present_chll_tonhr_linear_interpolation_feature_complete_24_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,prophet,standard,1,0.11407716992400413,0.08901466562322344,0.4389771034117913,./models/solos/energy_innovation_center_present_chll_tonhr_prophet_standard_1_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,prophet,standard,8,0.10891686106551592,0.08153036002019176,0.48899010452857616,./models/solos/energy_innovation_center_present_chll_tonhr_prophet_standard_8_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,prophet,standard,12,0.11021822934649493,0.08276360261355035,0.4765098868832186,./models/solos/energy_innovation_center_present_chll_tonhr_prophet_standard_12_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,prophet,standard,24,0.10075122628900163,0.07484146592584824,0.5628304490184752,./models/solos/energy_innovation_center_present_chll_tonhr_prophet_standard_24_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,prophet,feature complete,1,49.38252344371704,38.02842105441154,0.2769055437458243,./models/solos/energy_innovation_center_present_chll_tonhr_prophet_feature_complete_1_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,prophet,feature complete,8,40.479355736790446,30.33289551042944,0.5145196841626432,./models/solos/energy_innovation_center_present_chll_tonhr_prophet_feature_complete_8_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,prophet,feature complete,12,51.178403011840444,39.64668836548569,0.22368058149921421,./models/solos/energy_innovation_center_present_chll_tonhr_prophet_feature_complete_12_model.pkl
solos,Energy Innovation Center,present_chll_tonhr,prophet,feature complete,24,79.80493703813131,62.51723051953499,-0.8865751432976425,./models/solos/energy_innovation_center_present_chll_tonhr_prophet_feature_complete_24_model.pkl
