model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
xgboost,Indoor Practice Facility,present_elec_kwh,prophet,rfecv,3,3,30,day,184.722692320335,143.8225634915129,0.2630862035019438,./models/xgboost/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_prophet_rfecv_3_3_30_day,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_prophet,Indoor_Practice_Facility_Data_Extended.csv
solos,Energy Innovation Center,present_chll_tonhr,prophet,lassocv,3,0,30,day,2.336810944400091,1.8200828314892192,0.1399882853306792,./models/solos/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_prophet_lassocv_3_0_30_day,./models/tmp/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_prophet,Energy_Innovation_Center_Data_Extended.csv
xgboost,Fine Arts,present_elec_kwh,prophet,rfecv,4,2,30,day,436.52456943388046,336.6721563790977,0.10045613446454266,./models/xgboost/Fine_Arts_Data_Extended_present_elec_kwh_prophet_rfecv_4_2_30_day,./models/tmp/Fine_Arts_Data_Extended_present_elec_kwh_prophet,Fine_Arts_Data_Extended.csv
ensembles,Centennial Complex,present_elec_kwh,linear_regression,lassocv,2,2,30,day,0.29057442880132733,0.2191271862634668,0.08604426843446618,./models/ensembles/Centennial_Complex_Data_Extended_present_elec_kwh_linear_regression_lassocv_2_2_30_day,./models/tmp/Centennial_Complex_Data_Extended_present_elec_kwh_linear_regression,Centennial_Complex_Data_Extended.csv
xgboost,Fine Arts,present_elec_kwh,prophet,lassocv,3,3,30,day,433.97285331321353,331.2264549361577,0.09918334413665146,./models/xgboost/Fine_Arts_Data_Extended_present_elec_kwh_prophet_lassocv_3_3_30_day,./models/tmp/Fine_Arts_Data_Extended_present_elec_kwh_prophet,Fine_Arts_Data_Extended.csv
ensembles,Energy Innovation Center,present_elec_kwh,lstm,lassocv,4,3,30,day,195.27369376705715,134.8978699405848,0.05802243245048202,./models/ensembles/Energy_Innovation_Center_Data_Extended_present_elec_kwh_lstm_lassocv_4_3_30_day,./models/tmp/Energy_Innovation_Center_Data_Extended_present_elec_kwh_lstm,Energy_Innovation_Center_Data_Extended.csv
ensembles,High Bay,present_elec_kwh,linear_interpolation,rfecv,5,1,30,day,329.1813088162907,209.60301761220387,0.04352120599474503,./models/ensembles/High_Bay_Data_Extended_present_elec_kwh_linear_interpolation_rfecv_5_1_30_day,./models/tmp/High_Bay_Data_Extended_present_elec_kwh_linear_interpolation,High_Bay_Data_Extended.csv
ensembles,Physical Science,present_chll_tonhr,linear_interpolation,lassocv,6,6,30,day,116.22752995273419,81.4709748343766,1.0168915591093164,./models/ensembles/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation_lassocv_6_6_30_day,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation,Physical_Science_Data_Extended.csv
xgboost,Old Main,present_elec_kwh,lstm,lassocv,7,7,30,day,101.96768562188024,85.18155460923187,0.22663861149820907,./models/xgboost/Old_Main_Data_Extended_present_elec_kwh_lstm_lassocv_7_7_30_day,./models/tmp/Old_Main_Data_Extended_present_elec_kwh_lstm,Old_Main_Data_Extended.csv
xgboost,College of Education,present_elec_kwh,prophet,lassocv,2,2,30,day,357.72488009304266,295.2318042766354,0.3518495623380056,./models/xgboost/College_of_Education_Data_Extended_present_elec_kwh_prophet_lassocv_2_2_30_day,./models/tmp/College_of_Education_Data_Extended_present_elec_kwh_prophet,College_of_Education_Data_Extended.csv
xgboost,WRI and Bureau of Mines,present_elec_kwh,prophet,lassocv,6,2,30,day,117.93791156749973,89.38696215963364,0.07438609123096558,./models/xgboost/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_prophet_lassocv_6_2_30_day,./models/tmp/WRI_and_Bureau_of_Mines_Data_Extended_present_elec_kwh_prophet,WRI_and_Bureau_of_Mines_Data_Extended.csv
